feature,importance
hour,0.34610429382837277
month,0.14337190073391395
day_of_week,0.1296738142576331
number_of_vehicles,0.0936831828406419
number_of_casualties,0.08748468230317394
season,0.0342538844996212
pressure,0.020003218599399516
global_radiation,0.019507387214616582
min_temp,0.018500454525238644
max_temp,0.018466977879872955
mean_temp,0.018385035922447793
sunshine,0.017824564602860533
hour_peak,0.01573100809812333
cloud_cover,0.011865099682066057
precipitation,0.011088373446086288
is_weekend,0.007540672124757553
precipitation_peak_interaction,0.004904502767508885
low_visibility_proxy,0.0016109466736648334
snow,0.0
